DIVISION_ID;ID;TYPE_x;ACRONYM;LABEL;MEMBER_OF_COALITION;COALITION_MEMBERS;name;alpha-2;alpha-3;country-code;iso_3166-2;region;sub-region;intermediate-region;region-code;sub-region-code;intermediate-region-code;PARTY_ID;TYPE_y;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
GBE;BE17;PARTY;ProDG;Pro deutschsprachige Gemeinschaft ;;;;;;;;;;;;;;BE17;PARTY;0.1;OFFICIAL;2024-07-16 09:44
GBE;BE17;PARTY;ProDG;Pro deutschsprachige Gemeinschaft ;;;;;;;;;;;;;;BE17;PARTY;16.43;OFFICIAL;2024-07-16 09:44
GBE;BE18;PARTY;ECOLO (G.);Ecologistes Confédérés pour l'Organisation de Luttes Originales ;;;;;;;;;;;;;;BE18;PARTY;0.07;OFFICIAL;2024-07-16 09:44
GBE;BE18;PARTY;ECOLO (G.);Ecologistes Confédérés pour l'Organisation de Luttes Originales ;;;;;;;;;;;;;;BE18;PARTY;11.1;OFFICIAL;2024-07-16 09:44
GBE;BE92;PARTY;Other parties G.;Other parties from German-speaking electoral college;;;;;;;;;;;;;;BE92;PARTY;0.07;OFFICIAL;2024-07-16 09:44
GBE;BE92;PARTY;Other parties G.;Other parties from German-speaking electoral college;;;;;;;;;;;;;;BE92;PARTY;12.15;OFFICIAL;2024-07-16 09:44
WBE;BE08;PARTY;PS;Parti Socialiste;;;;;;;;;;;;;;BE08;PARTY;20.52;OFFICIAL;2024-07-16 09:44
WBE;BE08;PARTY;PS;Parti Socialiste;;;;;;;;;;;;;;BE08;PARTY;7.43;OFFICIAL;2024-07-16 09:44
WBE;BE09;PARTY;ECOLO;Ecologistes Confédérés pour l'Organisation de Luttes Originales;;;;;;;;;;;;;;BE09;PARTY;10.06;OFFICIAL;2024-07-16 09:44
WBE;BE09;PARTY;ECOLO;Ecologistes Confédérés pour l'Organisation de Luttes Originales;;;;;;;;;;;;;;BE09;PARTY;3.64;OFFICIAL;2024-07-16 09:44
WBE;BE10;PARTY;MR;Mouvement Réformateur;;;;;;;;;;;;;;BE10;PARTY;34.88;OFFICIAL;2024-07-16 09:44
WBE;BE10;PARTY;MR;Mouvement Réformateur;;;;;;;;;;;;;;BE10;PARTY;12.62;OFFICIAL;2024-07-16 09:44
WBE;BE11;PARTY;Les Engagés;Les Engagés;;;;;;;;;;;;;;BE11;PARTY;14.28;OFFICIAL;2024-07-16 09:44
WBE;BE11;PARTY;Les Engagés;Les Engagés;;;;;;;;;;;;;;BE11;PARTY;5.17;OFFICIAL;2024-07-16 09:44
WBE;BE12;PARTY;DéFI;Démocrate Fédéraliste Indépendant;;;;;;;;;;;;;;BE12;PARTY;2.91;OFFICIAL;2024-07-16 09:44
WBE;BE12;PARTY;DéFI;Démocrate Fédéraliste Indépendant;;;;;;;;;;;;;;BE12;PARTY;1.05;OFFICIAL;2024-07-16 09:44
WBE;BE13;PARTY;PTB;Parti du Travail de Belgique;;;;;;;;;;;;;;BE13;PARTY;15.38;OFFICIAL;2024-07-16 09:44
WBE;BE13;PARTY;PTB;Parti du Travail de Belgique;;;;;;;;;;;;;;BE13;PARTY;5.57;OFFICIAL;2024-07-16 09:44
WBE;BE91;PARTY;Other parties W.;Other parties from French-speaking electoral college;;;;;;;;;;;;;;BE91;PARTY;1.97;OFFICIAL;2024-07-16 09:44
WBE;BE91;PARTY;Other parties W.;Other parties from French-speaking electoral college;;;;;;;;;;;;;;BE91;PARTY;0.71;OFFICIAL;2024-07-16 09:44
BG;BG01;COALITION;GERB - SDS/ГЕРБ - СДС ;Coalition Grazhdani za evropeysko razvitie na Balgariya - Sayuz na demokratichnite sili/Граждани за европейско развитие на България - Съюз на демократичните сили;;BG11|BG12;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG01;COALITION;23.55;OFFICIAL;2024-07-16 12:32
BG;BG11;PARTY;GERB/ГЕРБ;Grazhdani za evropeysko razvitie na Balgariya;BG01;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;;;;;
BG;BG12;PARTY;SDS/СДС;Sayuz na demokratichnite sili/Съюз на демократичните сили;BG01;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;;;;;
BG;BG02;PARTY;BSP/БСП;Bulgarska sotsialisticheska partiy/Българска социалистическа партия;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG02;PARTY;7.01;OFFICIAL;2024-07-16 12:32
BG;BG03;PARTY;DPS/ДПС;Dvizhenie za prava i svobodi/Движение за права и свободи;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG03;PARTY;14.66;OFFICIAL;2024-07-16 12:32
BG;BG04;COALITION;PP - DB/ПП - ДБ;Coalition Prodalzhavame promyanata – Demokratichna Balgariya/Продължаваме промяната – Демократична България;;BG14|BG13;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG04;COALITION;14.45;OFFICIAL;2024-07-16 12:32
BG;BG14;PARTY;DSB/ДСБ;Demokratichna Balgariya/Демократична България;BG04;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;;;;;
BG;BG13;PARTY;PP/ПП;Prodalzhavame promyanata/Продължаваме промяната;BG04;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;;;;;
BG;BG05;PARTY;Vazrazhdane/Възраждане;Vazrazhdane/Възраждане;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG05;PARTY;13.98;OFFICIAL;2024-07-16 12:32
BG;BG06;PARTY;ITN/ИТН;Ima takav narod/Има такъв народ;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG06;PARTY;6.04;OFFICIAL;2024-07-16 12:32
BG;BG90;PARTY;Other parties;Other parties;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG90;PARTY;20.31;OFFICIAL;2024-07-16 12:32
CZ;CZ01;PARTY;ANO 2011;ANO 2011;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ01;PARTY;26.14;OFFICIAL;2024-07-16 12:32
CZ;CZ02;PARTY;Piráti;Česká pirátská strana;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ02;PARTY;6.2;OFFICIAL;2024-07-16 12:32
CZ;CZ03;COALITION;STAN - SLK;Coalition Starostové a osobnosti pro Evropu Starostové a nezávislí, Starostové pro Liberecký kraj;;CZ21;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ03;COALITION;8.7;OFFICIAL;2024-07-16 12:32
CZ;CZ21;PARTY;STAN;Starostové a nezávislí;CZ03;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ04;COALITION;Stačilo!;Coalition Stačilo! (Komunistická strana Čech a Moravy, Česká strana národně sociální, Spojení demokraté – Sdružení nezávislých);;CZ20|CZ19;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ04;COALITION;9.56;OFFICIAL;2024-07-16 12:32
CZ;CZ20;PARTY;Ind.;Independent;CZ04;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ19;PARTY;KSČM;Komunistická strana Čech a Moravy;CZ04;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ05;PARTY;SOCDEM ;Sociální Demokracie ;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ05;PARTY;1.86;OFFICIAL;2024-07-16 12:32
CZ;CZ06;PARTY;Svobodní;Strana Svobodných Občanů;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ06;PARTY;1.76;OFFICIAL;2024-07-16 12:32
CZ;CZ07;COALITION;SPOLU;Coalition SPOLU (Občanská demokratická strana, Křesťanská a demokratická unie – Československá strana lidová, Tradice Odpovědnost Prosperita 09);;CZ14|CZ16|CZ15;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ07;COALITION;22.27;OFFICIAL;2024-07-16 12:32
CZ;CZ14;PARTY;Coalition SPOLU;Coalition SPOLU;CZ07;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ16;PARTY;KDU-ČSL;Křesťanská a demokratická unie – Československá strana lidová;CZ07;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ15;PARTY;ODS;Občanská demokratická strana;CZ07;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ08;PARTY;Zelení;Strana zelených;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ08;PARTY;1.55;OFFICIAL;2024-07-16 12:32
CZ;CZ09;COALITION;Přísaha a Motoristé;Coalition Přísaha a Motoristé (Přísaha – občanské hnutí Roberta Šlachty, AUTO - Motoristé sobě);;CZ17|CZ18;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ09;COALITION;10.26;OFFICIAL;2024-07-16 12:32
CZ;CZ17;PARTY;AUTO;Motoristé sobě;CZ09;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ18;PARTY;Přísaha;Přísaha;CZ09;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
CZ;CZ10;COALITION;SPD a Trikolora;Coalition SPD a Trikolora (Svoboda a přímá demokracie, Trikolóra hnutí občanů);;CZ22;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ10;COALITION;5.73;OFFICIAL;2024-07-16 12:32
CZ;CZ22;PARTY;SPD;Svoboda a přímá demokracie;CZ10;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;;;;;
