DIVISION_ID;ID;TYPE_x;ACRONYM;LABEL;MEMBER_OF_COALITION;COALITION_MEMBERS;name;alpha-2;alpha-3;country-code;iso_3166-2;region;sub-region;intermediate-region;region-code;sub-region-code;intermediate-region-code;PARTY_ID;TYPE_y;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME;TEMPERATURE;WEIGHTED_TEMP
BG;BG02;PARTY;SDS;Săjuz na Demokratičnite Sili;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG02;PARTY;7.95;FINAL;;1.6254926148850894;12.922666288336462
BG;BG03;PARTY;BSP;Bulgarska sotsialisticheska partiya;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG03;PARTY;18.5;FINAL;;-0.4331740673584772;-8.013720246131829
BG;BG04;PARTY;DPS;Dvizhenie za prava i svobodi;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG04;PARTY;14.14;FINAL;;-0.967411543059995;-13.67919921886833
BG;BG05;PARTY;NDSV;Nacionalno dviženie za stabilnost i vazhod;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG05;PARTY;7.96;FINAL;;-0.5425226308058533;-4.318480141214592
BG;BG06;PARTY;ATAKA;Natsionalen Sayuz Ataka;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG06;PARTY;11.96;FINAL;;-0.27946643966946993;-3.3424186184468607
BG;BG90;PARTY;Other parties;Other parties;;;Bulgaria;BG;BGR;100.0;ISO 3166-2:BG;Europe;Eastern Europe;;150.0;151.0;;BG90;PARTY;15.13;FINAL;;1.2265560182642576;18.557792556338217
CZ;CZ01;PARTY;KDU-CSL;Krest.demokr.unie-Cs.str.lid;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ01;PARTY;7.64;FINAL;;0.7491902269816437;5.7238133341397575
CZ;CZ02;PARTY;CSSD;Ceská str.sociálne demokrat.;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ02;PARTY;22.38;FINAL;;-1.694683352701019;-37.927013433448806
CZ;CZ03;PARTY;ODS;Občanská Demokratická Strana;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ03;PARTY;31.45;FINAL;;1.6220565398243592;51.013678177476095
CZ;CZ04;PARTY;KSCM;Komunistická str.Cech a Moravy;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ04;PARTY;14.18;FINAL;;1.1014574202609695;15.618666219300547
CZ;CZ90;PARTY;Other parties;Other parties;;;Czechia;CZ;CZE;203.0;ISO 3166-2:CZ;Europe;Eastern Europe;;150.0;151.0;;CZ90;PARTY;24.35;FINAL;;1.6250312885157387;39.56951187535824
DK;DK01;PARTY;KF;Konservative Folkeparti;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK01;PARTY;12.3;FINAL;;0.7606637022930669;9.356163538204724
DK;DK02;PARTY;S;Socialdemokraterna;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK02;PARTY;20.9;FINAL;;0.025957046162772723;0.5425022648019499
DK;DK03;PARTY;V;Venstre;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK03;PARTY;19.6;FINAL;;1.693682122524491;33.19616960148002
DK;DK04;PARTY;SF;Socialistisk Folkeparti;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK04;PARTY;15.4;FINAL;;-0.4314704267686862;-6.644644572237768
DK;DK05;PARTY;N;Folkebevægelsen mod EU;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK05;PARTY;7.0;FINAL;;-1.8931953043504013;-13.252367130452809
DK;DK06;PARTY;DF;Dansk Folkeparti;;;Denmark;DK;DNK;208.0;ISO 3166-2:DK;Europe;Northern Europe;;150.0;154.0;;DK06;PARTY;14.8;FINAL;;1.4034691294297925;20.77134311556093
